ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean,Cancer_pooled_stdev,Cancer_cohens_d
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.154,14819.0,0.0005780085704744164,0.00044459977739253663,5.1273081956076205e-05,0.0014735728622560606,0.2669204255256654
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.320,15034.0,0.0017906078815696936,0.0005866318640150975,0.00011914208495623971,0.001758041464512904,0.26591510410613894
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.165,15942.0,0.00011705104301119901,0.0011384768443877423,0.0004031176762076181,0.0027765758749443946,0.2648438945306513
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.131,15978.0,0.0011338463001014894,0.003373654604158022,0.0022985802411253,0.0040871428480003585,0.2630381180728009
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.4,15120.0,0.011990816866808758,0.0016937034130605196,0.0008595574476706185,0.003198803863941117,0.26076808734443113
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.20,15869.0,0.0014591457868611438,0.003859180562282203,0.002099748609965143,0.006759467928943512,0.26029148607737457
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13,14670.0,0.07376014643764314,0.017152103718087792,0.013467367823008737,0.014459923762979294,0.25482401950920525
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.1,15549.0,0.00042314267881751744,0.0039512466062490235,0.0003515888247168884,0.01414146529304669,0.25454630810444195
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.113,16660.5,4.022819189596514e-05,0.002316210405732601,0.0014020521807141808,0.0036550553111238215,0.25010790458800025
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-003_NA.9,14523.5,0.05550397544053462,0.0007718153587092125,0.0003930017035507484,0.0015240053144851236,0.24856452373097146
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.8,14403.0,0.05033454022984253,0.00038036002518195694,0.0002046519592074751,0.0007116104883033304,0.24691607116895767
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,15009.0,0.00033924883877078915,0.0011079839663152371,5.7763091024240265e-05,0.0042756528087474965,0.24562819346378292
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.13,15257.5,0.014613043582649773,0.004414445767291426,0.0034917374327442245,0.003815464954367986,0.24183378581183795
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.48,15341.0,0.004907269376253077,0.0008572072432005238,0.0005096214391679666,0.0014392655477328588,0.24150220546866893
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.51,14565.5,0.023893156618956732,0.0005309848694647215,0.0002451337913134667,0.001199753370984762,0.23825819961366493
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.31,14773.0,0.004119312195236157,0.0008301729292031655,0.00015632078261547717,0.002833280144956686,0.23783463410321887
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.22,15116.5,0.022307202818152832,0.004246336328756471,0.0034587840278427085,0.0033495616094900635,0.23512100768125863
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38,13741.0,0.2397879916087997,0.0016971086519876576,0.000306952725087998,0.005954255763611243,0.23347265923567467
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.52,15858.0,0.0018705874872270813,0.006411605073170422,0.004746098233044088,0.007203965124542733,0.23119307372161255
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,14371.0,0.0168910008806228,0.00032964243836162196,7.718159386500866e-05,0.0011158842366906295,0.22624286300999713
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,13645.0,0.22434588659991628,0.0006218667487926939,0.00012014949098453653,0.002227331844075576,0.22525483086081785
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.20,14249.0,0.07458302899180674,0.000898506204293594,0.0002169112295296106,0.0030408783933151807,0.22414410792037795
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,14135.5,0.2167476146678321,0.0017998213874156033,0.0012853980357869904,0.0023357056231994677,0.22024323036220284
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.18,17504.0,3.0952524105918397e-09,0.003878166474808444,0.00047942293877658714,0.01552530215219205,0.21891641803261017
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.1,14323.5,0.018257941823075725,0.0006269090934988096,0.00015116664391267792,0.00219370186357108,0.21686741370209753
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia_sedimentorum.1,14132.0,0.04716320883522759,0.0005312507936314721,7.245225339635802e-05,0.0021275206893943137,0.21564939063682148
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.39,14867.5,0.0001382902801877954,0.0005839431504048227,0.0,0.002737079676943039,0.2133453239684316
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.37,14275.0,0.009582184821718374,0.0003921120897115894,3.620859553065156e-05,0.0016742253646962304,0.2125780087231641
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.82,14538.0,0.0028837589744697273,0.0008296057584666586,4.647801481069079e-05,0.003685311086010307,0.21249976606554985
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.18,14349.5,0.061250218231816964,0.0006677802249077933,0.00035239812442438954,0.0014918295285465556,0.211406259527971
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.26,15435.0,0.0032940036320904223,0.001773277117389777,0.0010351676720843342,0.00350266909018598,0.21072771258167913
Bacteria_Firmicutes_Bacilli_Acholeplasmatales_Acholeplasmataceae_Anaeroplasma_NA.1,14467.0,0.008001607209636335,0.0008660616258591498,0.0001230756271279002,0.003547527317018503,0.20943771036432426
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.37,14302.0,0.011410178005914767,0.00035931904538201155,5.066117501509286e-05,0.0015343491789953723,0.20116533745533396
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.63,13579.0,0.38058340595312656,0.0003265092935268796,0.0001807152158070214,0.0007304932223932015,0.1995830669615465
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-UCG-001_NA.1,13558.0,0.5132338902760081,0.000340910334083123,0.00024022028226051932,0.0005051414475173138,0.19933040996235524
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_virosa.2,13879.0,0.11656473303547722,0.00027872759599096273,0.00011352819780005105,0.0008407348031665893,0.19649406396487415
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.27,15091.0,0.024036525248886456,0.00804960848065235,0.006041474576861894,0.010298668988790914,0.19498965409764224
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.290,12475.5,0.48168157302397074,0.003377502744484369,0.0017463913314442405,0.008427729020469054,0.1935410368651539
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.79,14000.0,0.05044235942584336,0.0002771429777806997,0.00010110887819641227,0.0009468765414674902,0.18591029756790242
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.31,14725.0,0.0005208645436796732,0.0010412390826371899,1.6944108798122593e-05,0.005517901783497308,0.1856312442715966
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.13,13775.5,0.21670659885983823,0.00047329558682518235,0.00016301355598123787,0.0016785243606088052,0.18485405283686462
Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_nucleatum,15530.0,6.48706256411136e-05,0.003596629374231244,0.00010583728621233524,0.018890520711304964,0.184790675776865
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,13590.0,0.35751347364372466,0.00041957541175140895,0.00017492671731973033,0.0013362194297493997,0.18309020882712435
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.34,14623.0,0.0014459394938739262,0.0013784749578534142,0.00012491879653346813,0.006896465832106552,0.18176790719153646
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,14518.0,0.04512966763677038,0.003948483574939659,0.0010309795464947928,0.01613769104424077,0.1807881945717425
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,13489.0,0.3738049749481569,0.00018224843517178897,5.637788602753492e-05,0.0006987317025436527,0.18014146014276544
