ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean,MSI_pooled_stdev,MSI_cohens_d
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.7,2278.0,0.677867983250297,0.000610706768045617,0.00048294872093366804,0.0010048847977949446,0.1271370085330111
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.20,2395.0,0.44060995690336946,0.0017121471793638248,0.0014844434887046995,0.0018475789734391343,0.12324436136836486
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.21,2756.0,0.02780714185597225,0.00926047364711484,0.005677135747764719,0.03039818333706687,0.11788000156511588
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.277,1978.0,0.4375067358554079,0.005003094376036125,0.003058923397116085,0.01656960548922591,0.11733357080735578
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.97,2648.0,0.0902074516484804,0.005414904341927922,0.004549052293756895,0.007439147900276028,0.11639129370433665
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,2097.0,0.6300408469046682,0.0007701586586207318,0.000464076998686475,0.0026470625606627653,0.11563068606040833
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,2501.5,0.16325736042587824,0.0012902046924280987,0.0009526752913048094,0.002927891352285365,0.1152807124690029
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis.4,2438.0,0.353974173227257,0.00894808578642072,0.006825773890326669,0.01909600949924696,0.11113902599272077
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.99,2442.0,0.2978788147265551,0.001989003527038295,0.0015119029198653047,0.004427296401036912,0.10776342127471952
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.102,2312.5,0.6142367023589584,0.0007647620434424804,0.0006504943705582807,0.001074922200509803,0.10630320299460368
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.1,2262.5,0.7597980143024785,0.0007395022478404993,0.0006402087893333027,0.0009410597182065577,0.10551238841295532
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,2185.5,0.9959443257107113,0.00044056050529975126,0.00033506825683640625,0.001017944631218286,0.10363259967989699
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.5,2366.0,0.5084763295134349,0.04176668563425858,0.039010647032986526,0.027280594024259548,0.10102560812353352
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.359,2294.0,0.4893004320531503,0.0010720970640084092,0.000693747280139369,0.003817946433642794,0.09909771927000233
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.88,2377.0,0.2317691982620742,0.001962810907598011,0.0011539432115879977,0.00852208659547029,0.09491427797036787
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.286,2287.0,0.6850670240045524,0.005377809067687945,0.003996100844058125,0.015251379906468365,0.09059562033752858
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,2145.0,0.7893813463720663,0.0005423653728296084,0.00033006293393382004,0.002356604652284294,0.0900882711446743
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.14,2331.0,0.3908956696765373,0.0006351589045467387,0.00046368621328365386,0.0019472325737978715,0.08805968715316087
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_formicigenerans.1,2434.5,0.36230958639328603,0.0020979900305722627,0.001984643430246156,0.001290564611141611,0.08782714119662896
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.31,2152.0,0.8849682915216835,0.00033867532881728317,0.00028490121099532836,0.0006124349278711207,0.08780380637152507
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.34,2410.0,0.26746394745955937,0.00038934723757280015,0.0003267401891608743,0.0007412390493248044,0.08446269589946007
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-004_NA.20,2138.0,0.856051174037182,0.0006454881381721241,0.0005627997813349075,0.0010072438400314464,0.08209368332759925
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_inops.1,2094.0,0.7094345901806363,0.0008405305910808306,0.0006692978012599989,0.002115728718071977,0.08093324458764865
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.353,2105.0,0.614108485711811,0.000522566801903102,0.00037931093198263245,0.0018059143724148716,0.07932594817821155
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.6,2007.0,0.3737649364535688,0.0004265199158333503,0.00035107639208248895,0.0010250458437857637,0.07360014599174274
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,2299.0,0.4620647957375994,0.00027095827102505647,0.0002172617709081671,0.0007310559616135485,0.07345060150849912
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.2,2194.0,0.9713681166231135,0.0018994942447976132,0.0016746690138566172,0.0032558231669360662,0.0690532683789982
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_catus.1,2132.0,0.8508154538253635,0.0013171189792269102,0.001250861062473973,0.0009900212314039635,0.06692575335882021
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,2118.5,0.7528915144138989,0.0009339597361378808,0.0007743630349997513,0.002459277314368895,0.0648957725123755
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,2352.0,0.48558181751633556,0.004621682900219883,0.003504658687446164,0.01752131524762468,0.06375230380750961
